symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak- rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-type-std,turbo
3,121.7423313,alfa-romero,two,convertible,rwd,front,88.6,0.413432836,0.480113396,0.083333333,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,Low,0,1,1,0
3,121.7423313,alfa-romero,two,convertible,rwd,front,88.6,0.413432836,0.324786325,0.083333333,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,Low,0,1,1,0
2,164,audi,four,sedan,4wd,front,99.4,0.529850746,0.521367521,0.541666667,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,Low,0,1,1,0
2,121.7423313,audi,two,sedan,fwd,front,99.8,0.540298507,0.512820513,0.441666667,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,0.770149254,0.948717949,0.658333333,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,Low,0,1,1,0
1,121.7423313,audi,four,wagon,fwd,front,105.8,0.770149254,0.948717949,0.658333333,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,0.770149254,0.948717949,0.675,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,Medium,0,1,0,1
2,192,bmw,two,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,Low,0,1,1,0
0,192,bmw,four,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,Low,0,1,1,0
0,188,bmw,two,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,Medium,0,1,1,0
0,188,bmw,four,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,Medium,0,1,1,0
1,121.7423313,bmw,four,sedan,rwd,front,103.5,0.714925373,0.564102564,0.658333333,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,Medium,0,1,1,0
0,121.7423313,bmw,four,sedan,rwd,front,103.5,0.714925373,0.564102564,0.658333333,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,Medium,0,1,1,0
0,121.7423313,bmw,two,sedan,rwd,front,103.5,0.786567164,0.64957265,0.491666667,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,Medium,0,1,1,0
0,121.7423313,bmw,four,sedan,rwd,front,110,0.834328358,0.905982906,0.708333333,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,Medium,0,1,1,0
2,121,chevrolet,two,hatchback,fwd,front,88.4,0,0,0.45,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,Low,0,1,1,0
1,98,chevrolet,two,hatchback,fwd,front,94.5,0.220895522,0.282051282,0.35,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,Low,0,1,1,0
0,81,chevrolet,four,sedan,fwd,front,94.5,0.264179104,0.282051282,0.35,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,Low,0,1,0,1
1,148,dodge,four,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,0.241791045,0.299145299,0.233333333,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,Low,0,1,0,1
-1,110,dodge,four,wagon,fwd,front,103.3,0.5,0.367521368,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,Low,0,1,1,0
3,145,dodge,two,hatchback,fwd,front,95.9,0.479104478,0.512820513,0.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,Medium,0,1,0,1
2,137,honda,two,hatchback,fwd,front,86.6,0.052238806,0.307692308,0.25,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,Low,0,1,1,0
2,137,honda,two,hatchback,fwd,front,86.6,0.052238806,0.307692308,0.25,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,0.132835821,0.316239316,0.4,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,0.132835821,0.316239316,0.4,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,Low,0,1,1,0
