,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak- rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-type-std,turbo
0,3,121.7423313,alfa-romero,two,convertible,rwd,front,88.6,0.413432836,0.480113396,0.083333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495,Low,0,1,1,0
1,3,121.7423313,alfa-romero,two,convertible,rwd,front,88.6,0.413432836,0.324786325,0.083333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500,Low,0,1,1,0
2,2,164.0,audi,four,sedan,4wd,front,99.4,0.529850746,0.521367521,0.541666667,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,Low,0,1,1,0
3,2,121.7423313,audi,two,sedan,fwd,front,99.8,0.540298507,0.512820513,0.441666667,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250,Low,0,1,1,0
4,1,158.0,audi,four,sedan,fwd,front,105.8,0.770149254,0.948717949,0.658333333,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,Low,0,1,1,0
5,1,121.7423313,audi,four,wagon,fwd,front,105.8,0.770149254,0.948717949,0.658333333,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920,Low,0,1,1,0
6,1,158.0,audi,four,sedan,fwd,front,105.8,0.770149254,0.948717949,0.675,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875,Medium,0,1,0,1
7,2,192.0,bmw,two,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,Low,0,1,1,0
8,0,192.0,bmw,four,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925,Low,0,1,1,0
9,0,188.0,bmw,two,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,Medium,0,1,1,0
10,0,188.0,bmw,four,sedan,rwd,front,101.2,0.532835821,0.384615385,0.541666667,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105,Medium,0,1,1,0
11,1,121.7423313,bmw,four,sedan,rwd,front,103.5,0.714925373,0.564102564,0.658333333,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565,Medium,0,1,1,0
12,0,121.7423313,bmw,four,sedan,rwd,front,103.5,0.714925373,0.564102564,0.658333333,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760,Medium,0,1,1,0
13,0,121.7423313,bmw,two,sedan,rwd,front,103.5,0.786567164,0.64957265,0.491666667,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315,Medium,0,1,1,0
14,0,121.7423313,bmw,four,sedan,rwd,front,110.0,0.834328358,0.905982906,0.708333333,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880,Medium,0,1,1,0
15,2,121.0,chevrolet,two,hatchback,fwd,front,88.4,0.0,0.0,0.45,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151,Low,0,1,1,0
16,1,98.0,chevrolet,two,hatchback,fwd,front,94.5,0.220895522,0.282051282,0.35,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,Low,0,1,1,0
